smiles,smiles_emb,pIC50,norm_pIC50,stand_pIC50,FGs,num_FG
CCCNc1c(C(=O)OC)cnc2c1cnn2CC(Cl)c1ccccc1,"[32, 1, 1, 1, 15, 2, 3, 2, 5, 1, 5, 8, 9, 6, 9, 1, 6, 2, 11, 2, 4, 2, 3, 2, 11, 11, 4, 1, 1, 5, 19, 6, 2, 3, 2, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.12,0.008310249307479294,-1.57747918295341,"[4, 14, 9, 12, 18, 25, 24, 30]",8
CCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,"[32, 1, 1, 1, 11, 3, 2, 2, 4, 2, 5, 11, 2, 5, 15, 1, 5, 8, 9, 6, 15, 2, 14, 2, 2, 2, 5, 18, 6, 2, 2, 14, 6, 11, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 17, 21, 6, 11, 2, 4, 14, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.3,0.6121883656509696,0.23134372798383712,"[4, 48, 11, 14, 15, 18, 20, 27, 31, 34, 43, 44]",12
CCc1c(C(=O)NCc2ncccc2C)nc(N)nc1-c1ccc(C)o1,"[32, 1, 1, 2, 3, 2, 5, 1, 5, 8, 9, 6, 15, 1, 2, 4, 11, 2, 2, 2, 2, 4, 1, 6, 11, 2, 5, 15, 6, 11, 2, 3, 23, 2, 3, 2, 2, 2, 5, 1, 6, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.74,0.45706371191135753,-0.23330802895417105,"[7, 10, 12, 16, 24, 27, 29, 39]",8
Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccco3)c2n1,"[32, 15, 2, 3, 11, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 2, 4, 11, 2, 11, 5, 1, 5, 8, 9, 6, 15, 1, 2, 14, 2, 2, 2, 17, 14, 6, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.7,1.0,1.392973120328858,"[1, 4, 12, 16, 19, 20, 22, 25, 33, 37]",10
COc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 15, 4, 1, 1, 15, 5, 1, 1, 11, 14, 2, 5, 8, 9, 6, 11, 5, 1, 6, 2, 21, 2, 14, 11, 2, 5, 15, 6, 11, 14, 11, 2, 5, 23, 2, 24, 2, 2, 2, 17, 24, 6, 11, 2, 21, 14, 6, 1, 1, 4, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",9.68,1.2714681440443214,2.206113694970373,"[2, 9, 13, 17, 22, 24, 32, 35, 37, 39, 47, 48]",12
Nc1nc(CCCc2ccccc2O)nc2cn(-c3ccccc3)nc12,"[32, 15, 2, 3, 11, 2, 5, 1, 1, 1, 2, 4, 2, 2, 2, 2, 2, 4, 9, 6, 11, 2, 4, 2, 11, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 11, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.99,0.5263157894736844,-0.025874208892560112,"[1, 4, 18, 20, 33, 24]",6
Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1,"[32, 1, 2, 3, 2, 2, 5, 23, 2, 4, 11, 11, 2, 5, 15, 6, 11, 2, 4, 23, 2, 4, 2, 2, 2, 2, 2, 4, 6, 2, 2, 5, 1, 5, 16, 6, 5, 16, 6, 16, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.46,0.9335180055401666,1.1938366530697126,"[8, 10, 12, 14, 30, 32, 34, 37]",8
CC(=O)N1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)CC1,"[32, 1, 1, 5, 8, 9, 6, 15, 3, 1, 1, 15, 5, 1, 1, 5, 8, 9, 6, 15, 2, 4, 2, 2, 5, 23, 11, 14, 11, 2, 5, 1, 6, 2, 2, 14, 1, 6, 11, 2, 5, 23, 2, 14, 2, 2, 2, 5, 1, 6, 17, 14, 6, 11, 4, 6, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.44,0.9279778393351801,1.1772419474647828,"[2, 5, 7, 11, 14, 17, 19, 25, 26, 36, 46, 48]",12
COc1cccc(-c2nc(Cc3ccc(C)c(C)c3)n[nH]2)c1,"[32, 1, 9, 2, 3, 2, 2, 2, 2, 5, 23, 2, 4, 11, 2, 5, 1, 2, 14, 2, 2, 2, 5, 1, 6, 2, 5, 1, 6, 2, 14, 6, 11, 10, 11, 12, 13, 4, 6, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.7,0.7229916897506927,0.563237840082415,"[11, 2, 29, 32]",4
COc1ccc(NC(=O)Nc2nc3cn(C)nc3c3nc(-c4ccco4)nn23)cc1,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 15, 1, 5, 8, 9, 6, 15, 2, 4, 11, 2, 14, 2, 11, 5, 1, 6, 11, 2, 14, 2, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 17, 21, 6, 11, 11, 4, 14, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.65,0.43213296398891987,-0.30798420417635086,"[2, 13, 15, 9, 10, 18, 26, 22, 31, 39, 40, 43]",12
